"filename", "language", "XML", "Python", "HTML", "SQL", "JavaScript", "CSS", "comment", "blank", "total"
"/Users/aa/Documents/dblab3/app/static/vendor/animate.css/animate.min.css", "CSS", 0, 0, 0, 0, 0, 2, 7, 2, 11
"/Users/aa/Documents/dblab3/app/static/vendor/aos/aos.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/aa/Documents/dblab3/app/static/vendor/aos/aos.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/aa/Documents/dblab3/app/static/vendor/bootstrap/css/bootstrap-grid.css", "CSS", 0, 0, 0, 0, 0, 3681, 7, 211, 3899
"/Users/aa/Documents/dblab3/app/static/vendor/bootstrap/css/bootstrap-grid.min.css", "CSS", 0, 0, 0, 0, 0, 1, 6, 0, 7
"/Users/aa/Documents/dblab3/app/static/vendor/bootstrap/css/bootstrap-reboot.css", "CSS", 0, 0, 0, 0, 0, 264, 8, 55, 327
"/Users/aa/Documents/dblab3/app/static/vendor/bootstrap/css/bootstrap-reboot.min.css", "CSS", 0, 0, 0, 0, 0, 1, 7, 0, 8
"/Users/aa/Documents/dblab3/app/static/vendor/bootstrap/css/bootstrap.css", "CSS", 0, 0, 0, 0, 0, 9016, 7, 1201, 10224
"/Users/aa/Documents/dblab3/app/static/vendor/bootstrap/css/bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 1, 6, 0, 7
"/Users/aa/Documents/dblab3/app/static/vendor/bootstrap/js/bootstrap.bundle.js", "JavaScript", 0, 0, 0, 0, 4586, 0, 1375, 1174, 7135
"/Users/aa/Documents/dblab3/app/static/vendor/bootstrap/js/bootstrap.bundle.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 6, 0, 7
"/Users/aa/Documents/dblab3/app/static/vendor/bootstrap/js/bootstrap.js", "JavaScript", 0, 0, 0, 0, 3347, 0, 325, 850, 4522
"/Users/aa/Documents/dblab3/app/static/vendor/bootstrap/js/bootstrap.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 6, 0, 7
"/Users/aa/Documents/dblab3/app/static/vendor/boxicons/css/animations.css", "CSS", 0, 0, 0, 0, 0, 354, 0, 32, 386
"/Users/aa/Documents/dblab3/app/static/vendor/boxicons/css/boxicons.css", "CSS", 0, 0, 0, 0, 0, 4229, 0, 56, 4285
"/Users/aa/Documents/dblab3/app/static/vendor/boxicons/css/boxicons.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/aa/Documents/dblab3/app/static/vendor/boxicons/css/transformations.css", "CSS", 0, 0, 0, 0, 0, 25, 0, 6, 31
"/Users/aa/Documents/dblab3/app/static/vendor/boxicons/fonts/boxicons.svg", "XML", 1263, 0, 0, 0, 0, 0, 0, 0, 1263
"/Users/aa/Documents/dblab3/app/static/vendor/counterup/counterup.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 10, 1, 12
"/Users/aa/Documents/dblab3/app/static/vendor/icofont/icofont.min.css", "CSS", 0, 0, 0, 0, 0, 1, 6, 0, 7
"/Users/aa/Documents/dblab3/app/static/vendor/isotope-layout/isotope.pkgd.js", "JavaScript", 0, 0, 0, 0, 2198, 0, 830, 536, 3564
"/Users/aa/Documents/dblab3/app/static/vendor/isotope-layout/isotope.pkgd.min.js", "JavaScript", 0, 0, 0, 0, 2, 0, 9, 1, 12
"/Users/aa/Documents/dblab3/app/static/vendor/jquery-sticky/jquery.sticky.js", "JavaScript", 0, 0, 0, 0, 228, 0, 20, 27, 275
"/Users/aa/Documents/dblab3/app/static/vendor/jquery.easing/jquery.easing.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/aa/Documents/dblab3/app/static/vendor/jquery/jquery.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 1, 1, 3
"/Users/aa/Documents/dblab3/app/static/vendor/php-email-form/validate.js", "JavaScript", 0, 0, 0, 0, 106, 0, 1, 20, 127
"/Users/aa/Documents/dblab3/app/static/vendor/venobox/venobox.css", "CSS", 0, 0, 0, 0, 0, 208, 13, 5, 226
"/Users/aa/Documents/dblab3/app/static/vendor/venobox/venobox.js", "JavaScript", 0, 0, 0, 0, 597, 0, 55, 112, 764
"/Users/aa/Documents/dblab3/app/static/vendor/venobox/venobox.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 11, 1, 13
"/Users/aa/Documents/dblab3/app/static/vendor/waypoints/jquery.waypoints.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 6, 0, 7
"/Users/aa/Documents/dblab3/app/statistics/__init__.py", "Python", 0, 3, 0, 0, 0, 0, 0, 2, 5
"/Users/aa/Documents/dblab3/app/statistics/views.py", "Python", 0, 30, 0, 0, 0, 0, 0, 4, 34
"/Users/aa/Documents/dblab3/app/templates/accounts/accounts_add_checking.html", "HTML", 0, 0, 194, 0, 0, 0, 8, 28, 230
"/Users/aa/Documents/dblab3/app/templates/accounts/accounts_add_saving.html", "HTML", 0, 0, 204, 0, 0, 0, 8, 27, 239
"/Users/aa/Documents/dblab3/app/templates/accounts/accounts_bind.html", "HTML", 0, 0, 189, 0, 0, 0, 4, 21, 214
"/Users/aa/Documents/dblab3/app/templates/accounts/accounts_edit_checking.html", "HTML", 0, 0, 199, 0, 0, 0, 4, 21, 224
"/Users/aa/Documents/dblab3/app/templates/accounts/accounts_edit_saving.html", "HTML", 0, 0, 208, 0, 0, 0, 4, 21, 233
"/Users/aa/Documents/dblab3/app/templates/accounts/accounts_index.html", "HTML", 0, 0, 92, 0, 0, 0, 4, 21, 117
"/Users/aa/Documents/dblab3/app/templates/accounts/accounts_search.html", "HTML", 0, 0, 268, 0, 0, 0, 24, 44, 336
"/Users/aa/Documents/dblab3/app/templates/accounts/accounts_show.html", "HTML", 0, 0, 203, 0, 0, 0, 4, 27, 234
"/Users/aa/Documents/dblab3/app/templates/bankindex.html", "HTML", 0, 0, 103, 0, 0, 0, 4, 27, 134
"/Users/aa/Documents/dblab3/app/templates/customers/customers_add.html", "HTML", 0, 0, 227, 0, 0, 0, 4, 27, 258
"/Users/aa/Documents/dblab3/app/templates/customers/customers_add_success.html", "HTML", 0, 0, 167, 0, 0, 0, 4, 18, 189
"/Users/aa/Documents/dblab3/app/templates/customers/customers_edit.html", "HTML", 0, 0, 178, 0, 0, 0, 4, 20, 202
"/Users/aa/Documents/dblab3/app/templates/customers/customers_index.html", "HTML", 0, 0, 85, 0, 0, 0, 4, 20, 109
"/Users/aa/Documents/dblab3/app/templates/customers/customers_search.html", "HTML", 0, 0, 237, 0, 0, 0, 24, 44, 305
"/Users/aa/Documents/dblab3/app/templates/customers/customers_search_backup.html", "HTML", 0, 0, 208, 0, 0, 0, 22, 39, 269
"/Users/aa/Documents/dblab3/app/templates/customers/customers_show.html", "HTML", 0, 0, 194, 0, 0, 0, 4, 26, 224
"/Users/aa/Documents/dblab3/app/templates/index.html", "HTML", 0, 0, 113, 0, 0, 0, 4, 42, 159
"/Users/aa/Documents/dblab3/app/templates/indexdefault.html", "HTML", 0, 0, 83, 0, 0, 0, 0, 13, 96
"/Users/aa/Documents/dblab3/app/templates/loans/loans_add.html", "HTML", 0, 0, 193, 0, 0, 0, 4, 27, 224
"/Users/aa/Documents/dblab3/app/templates/loans/loans_index.html", "HTML", 0, 0, 85, 0, 0, 0, 4, 20, 109
"/Users/aa/Documents/dblab3/app/templates/loans/loans_offer.html", "HTML", 0, 0, 202, 0, 0, 0, 4, 21, 227
"/Users/aa/Documents/dblab3/app/templates/loans/loans_search.html", "HTML", 0, 0, 261, 0, 0, 0, 24, 45, 330
"/Users/aa/Documents/dblab3/app/templates/loans/loans_show.html", "HTML", 0, 0, 153, 0, 0, 0, 4, 22, 179
"/Users/aa/Documents/dblab3/app/templates/page.html", "HTML", 0, 0, 258, 0, 0, 0, 12, 58, 328
"/Users/aa/Documents/dblab3/app/templates/statistics/statistics.html", "HTML", 0, 0, 216, 0, 0, 0, 26, 44, 286
"/Users/aa/Documents/dblab3/app/templates/test.html", "HTML", 0, 0, 87, 0, 0, 0, 13, 12, 112
"/Users/aa/Documents/dblab3/app/views/404.html", "HTML", 0, 0, 12, 0, 0, 0, 0, 5, 17
"/Users/aa/Documents/dblab3/app/views/tags.html", "HTML", 0, 0, 28, 0, 0, 0, 0, 7, 35
"/Users/aa/Documents/dblab3/crebas.sql", "SQL", 0, 0, 0, 176, 0, 0, 67, 39, 282
"/Users/aa/Documents/dblab3/manage.py", "Python", 0, 3, 0, 0, 0, 0, 0, 4, 7
"Total", "-", 1644, 1316, 4647, 176, 12499, 22637, 3353, 6510, 52782
